"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","88","ADC_AVCC0","","","","","",""
"AVSS0","89","ADC_AVSS0","","","","","",""
"P000","100","","","","Disabled","","","ADC0: AN00
CMP0: IVCMP0
CMP0: IVREF0
CTSU0: TS21
IRQ0: IRQ06
OPAMP0: AMP+"
"P001","99","","","","Disabled","","","ADC0: AN01
CMP0: IVCMP1
CMP0: IVREF1
CTSU0: TS22
IRQ0: IRQ07
OPAMP0: AMP-"
"P002","98","","","","Disabled","","","ADC0: AN02
CMP0: IVCMP2
CMP0: IVREF2
IRQ0: IRQ08
OPAMP0: AMPO"
"P003","97","","","","Disabled","","","ADC0: AN03
CMP0: IVCMP3
CMP0: IVREF3
OPAMP1: AMPO"
"P004","96","","","","Disabled","","","ADC0: AN04
CMP0: IVCMP0
IRQ0: IRQ09
OPAMP2: AMPO"
"P005","95","","","","Disabled","","","ADC0: AN05
CMP0: IVREF0
CTSU0: TS26
IRQ0: IRQ10
OPAMP3: AMP+"
"P006","94","","","","Disabled","","","ADC0: AN06
CMP0: IVREF4
CTSU0: TS27
IRQ0: IRQ11
OPAMP3: AMP-"
"P007","93","","","","Disabled","","","ADC0: AN07
CMP0: IVCMP4
OPAMP3: AMPO"
"P008","92","","","","Disabled","","","ADC0: AN08
CTSU0: TS29
IRQ0: IRQ12"
"P010","91","","","","Disabled","","","ADC: VREFH0
ADC0: AN10
CTSU0: TS30
IRQ0: IRQ14
OPAMP2: AMP-"
"P011","90","","","","Disabled","","","ADC: VREFL0
ADC0: AN11
CTSU0: TS31
IRQ0: IRQ15
OPAMP2: AMP+"
"P012","87","","","","Disabled","","","ADC: VREFH
ADC0: AN12
OPAMP1: AMP-"
"P013","86","","","","Disabled","","","ADC: VREFL
ADC0: AN13
OPAMP1: AMP+"
"P014","85","","","","Disabled","","","ADC0: AN14
CMP0: IVREF5
DAC120: DA"
"P015","84","","","","Disabled","","","ADC0: AN15
CMP0: IVCMP5
DAC121: DA
IRQ0: IRQ13"
"P100","75","","","","Disabled","","","ADC0: AN27
AGT0: AGTIO
BUS0: D0
CMP0: CMPIN0
IIC1: SCL
IRQ0: IRQ02
KINT0: KRM0
POEG0: GTETRG
SCI0: RXD_MISO
SCI0: SCL
SCI1: SCK
SLCDC0: VL1
SPI0: MISO"
"P101","74","","","","Disabled","","","ADC0: AN26
AGT0: AGTEE
BUS0: D1
CMP0: CMPREF0
IIC1: SDA
IRQ0: IRQ01
KINT0: KRM1
POEG1: GTETRG
SCI0: SDA
SCI0: TXD_MOSI
SCI1: CTS_RTS_SS
SLCDC0: VL2
SPI0: MOSI"
"P102","73","","","","Disabled","","","ADC0: ADTRG
ADC0: AN25
AGT0: AGTO
BUS0: D2
CMP0: CMPIN1
GPT2: GTIOCB
KINT0: KRM2
OPS0: GTOWLO
SCI0: SCK
SLCDC0: VL3
SPI0: RSPCK"
"P103","72","","","","Disabled","","","ADC0: AN24
BUS0: D3
CMP0: CMPREF1
GPT2: GTIOCA
KINT0: KRM3
OPS0: GTOWUP
SCI0: CTS_RTS_SS
SLCDC0: VL4
SPI0: SSL0"
